graph,query,run,runtime_ms
artificial_trees_truebase_10_dewey,03_insert_last_root,1,2.310
artificial_trees_truebase_10_dewey,03_insert_last_root,2,2.591
artificial_trees_truebase_10_dewey,03_insert_last_root,3,2.344
artificial_trees_truebase_10_dewey,03_insert_last_root,4,2.529
artificial_trees_truebase_10_dewey,03_insert_last_root,5,2.565
artificial_trees_truebase_10_dewey,04_insert_first_root,1,2.695
artificial_trees_truebase_10_dewey,04_insert_first_root,2,2.720
artificial_trees_truebase_10_dewey,04_insert_first_root,3,2.734
artificial_trees_truebase_10_dewey,04_insert_first_root,4,2.506
artificial_trees_truebase_10_dewey,04_insert_first_root,5,2.380
artificial_trees_truebase_10_prepost,01_insert_last_child_under_last_root,1,2.736
artificial_trees_truebase_10_prepost,01_insert_last_child_under_last_root,2,2.782
artificial_trees_truebase_10_prepost,01_insert_last_child_under_last_root,3,2.991
